Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,198.600006,201.570007,197.410004,200.089996,2926400,200.089996
2016-10-20,202.119995,203.00,197.050003,199.100006,5055600,199.100006
2016-10-19,199.740005,206.660004,198.059998,203.559998,6946200,203.559998
2016-10-18,195.990005,199.470001,193.259995,199.100006,5669000,199.100006
2016-10-17,197.050003,198.389999,192.00,193.960007,4511500,193.960007
2016-10-14,200.660004,201.429993,196.300003,196.509995,4263900,196.509995
2016-10-13,200.50,200.899994,197.050003,200.240005,2494600,200.240005
2016-10-12,200.949997,203.880005,200.419998,201.509995,1962300,201.509995
2016-10-11,201.850006,202.199997,198.309998,200.100006,2307500,200.100006
2016-10-10,201.350006,204.139999,199.660004,200.949997,3303100,200.949997
2016-10-07,201.00,201.320007,195.800003,196.610001,3487300,196.610001
2016-10-06,202.460007,204.210007,200.210007,201.00,4697000,201.00
2016-10-05,212.240005,213.149994,208.119995,208.460007,1871900,208.460007
2016-10-04,213.100006,213.320007,208.820007,211.410004,3535400,211.410004
2016-10-03,212.300003,215.669998,208.25,213.699997,5982700,213.699997
2016-09-30,202.210007,204.979996,199.550003,204.029999,2579500,204.029999
2016-09-29,205.600006,207.330002,200.580002,200.699997,2713600,200.699997
2016-09-28,207.509995,208.25,205.259995,206.270004,2047800,206.270004
2016-09-27,209.649994,209.979996,204.610001,205.809998,3367000,205.809998
2016-09-26,206.50,211.00,206.50,208.990005,2389800,208.990005
2016-09-23,205.990005,210.179993,205.669998,207.449997,2895300,207.449997
2016-09-22,206.399994,207.279999,203.00,206.429993,2381500,206.429993
